time,Date,itf_g,itf_t,itf_s,DMI_HadISST1.1,meiv2,TCI_MEI,TCI_DMI,H1_features,H2_features,regime_shift
1984.0,1984-01-01,7.712504472019484,10.416915760259958,-2.265140356789846,-0.223,-0.54,-0.0029940119752578376,4.002994011975257,0,9,0
1984.084699453552,1984-02-01,6.222144127476664,8.049563377208818,-2.1098976352230814,-0.149,-0.56,0.08956676810404307,3.910433231895957,0,9,0
1984.1639344262296,1984-03-01,6.183102975520782,4.982744837357801,1.0325867486709068,-0.122,-0.16,0.17615588495225287,3.823844115047747,0,9,0
1984.2486338797812,1984-04-01,3.3259215469878267,-1.1790328477204204,3.438873778489239,0.05,0.07,0.26871666503105684,3.731283334968943,0,9,0
1984.330601092896,1984-05-01,3.6539837131395534,1.4407648867383749,2.528188978756753,-0.305,-0.45,0.35829161349468786,3.641708386505312,0,9,0
1984.415300546448,1984-06-01,13.740493175099123,11.238507555043764,2.254371671206919,-0.357,-0.66,0.45085239357398876,3.5491476064260112,0,9,0
1984.4972677595629,1984-07-01,15.121979688006531,13.18057134202218,1.780489067420744,-0.366,-0.34,0.5404273420378685,3.4595726579621315,0,9,0
1984.5819672131147,1984-08-01,13.958667774805932,10.458653174843398,2.615275270094167,-0.498,-0.2,0.6329881221169209,3.367011877883079,0,9,0
1984.6666666666667,1984-09-01,16.63069855628472,12.117626890279194,4.210723226285007,-0.608,-0.14,0.7255489021962218,3.2744510978037784,0,9,0
1984.7486338797812,1984-10-01,7.405747945071877,4.948982675538806,1.329233937291652,-0.654,-0.19,0.8151238506596044,3.1848761493403956,0,9,0
1984.8333333333333,1984-11-01,4.083866935662843,2.371674955874851,2.0480335823840687,-0.418,-0.58,0.9076846307389053,3.0923153692610947,0,9,0
1984.915300546448,1984-12-01,4.502197864537124,4.956066525791817,0.4145412393773537,-0.278,-0.28,0.9972595792025365,3.0027404207974637,0,9,0
1985.0,1985-01-01,6.172791863532908,10.062036999203338,-1.3852687618491222,-0.466,-0.25,1.0898203592818372,2.910179640718163,0,9,0
1985.0849315068488,1985-02-01,1.9590302152150736,7.535068515607046,-1.0944285332807837,-0.627,-0.58,1.182634730538684,2.817365269461316,0,9,0
1985.1616438356164,1985-03-01,-0.644936237725973,4.186228578564727,0.9215954398518946,-0.541,-0.6,1.2664670658685149,2.7335329341314853,0,9,0
1985.2465753424656,1985-04-01,-3.1547154924837786,-2.1536279722482368,3.4122182689245526,-0.2,-0.76,1.3592814371258586,2.6407185628741416,0,9,0
1985.328767123288,1985-05-01,-1.9151688162520104,0.3427105566417391,1.407926373886316,-0.223,-1.23,1.449101796407696,2.550898203592304,0,9,0
1985.4136986301369,1985-06-01,7.941982846677954,10.044935975628174,2.2887006275289514,-0.629,-0.67,1.5419161676647912,2.458083832335209,0,9,0
1985.495890410959,1985-07-01,10.479401839380284,11.952787029408398,0.472379605261219,-0.403,-0.1,1.63173652694638,2.36826347305362,0,9,0
1985.580821917808,1985-08-01,9.31676366321662,9.20189174442612,1.4543221789438534,-0.459,-0.49,1.7245508982034752,2.2754491017965246,0,9,0
1985.6657534246576,1985-09-01,12.95144065025429,11.004579321832832,2.972231927527276,-0.238,-0.56,1.8173652694613158,2.182634730538684,0,9,0
1985.7479452054797,1985-10-01,6.712362340142819,4.028952978362032,0.6722783563570811,-0.498,-0.08,1.9071856287429048,2.092814371257095,0,9,0
1985.8328767123287,1985-11-01,4.997195402781578,1.7050497751393148,1.4819984712984224,0.074,-0.06,2.0,2.0,0,9,0
1985.9150684931508,1985-12-01,5.40861605947407,4.70671362913355,0.1440578216087943,-0.417,-0.42,2.089820359281589,1.910179640718411,0,9,0
1986.0,1986-01-01,9.701513500345692,10.136712840268975,-2.934709920000905,-0.113,-0.4,2.1826347305389326,1.8173652694610674,0,9,0
1986.0849315068488,1986-02-01,7.543803195266593,7.915790271506212,-2.225223434683695,-0.135,-0.34,2.2754491017957794,1.7245508982042206,0,9,0
1986.1616438356164,1986-03-01,6.388102358570743,4.837003165579882,0.6669044863952605,-0.2,-0.4,2.35928143712561,1.6407185628743899,0,9,0
1986.2465753424656,1986-04-01,3.8506108018805216,-1.3505103517915145,2.653089974028088,-0.286,-0.53,2.452095808382954,1.5479041916170462,0,9,0
1986.328767123288,1986-05-01,3.698403932698973,1.140090512814656,1.157589948741079,-0.154,-0.26,2.541916167664791,1.4580838323352088,1,9,0
1986.4136986301369,1986-06-01,13.980568240697393,10.608361786047922,2.112339370199618,-0.278,0.01,2.6347305389218865,1.3652694610781135,1,9,0
1986.495890410959,1986-07-01,14.570364181035508,12.116892396243037,1.946137246265755,-0.546,0.41,2.7245508982034754,1.2754491017965246,1,9,0
1986.580821917808,1986-08-01,11.32563866155612,8.879832056837039,3.661044653790126,-0.401,0.97,2.8173652694605704,1.1826347305394296,1,9,0
1986.6657534246576,1986-09-01,14.220416762545875,9.968581938843435,5.43046987627017,-0.142,1.29,2.910179640718411,1.089820359281589,1,9,0
1986.7479452054797,1986-10-01,5.519628016526347,2.296978438619778,4.661792981140732,-0.048,0.56,3.0,1.0,1,9,0
1986.8328767123287,1986-11-01,1.659742422593534,-0.6738661574921265,3.470409263919853,-0.244,0.64,3.092537313432497,1.1850746268649943,1,9,0
1986.9150684931508,1986-12-01,1.8184398710838496,1.6359177054719214,1.8624211562859776,-0.274,1.06,3.1820895522386667,1.364179104477334,1,9,0
1987.0,1987-01-01,3.9657652258323592,6.526632154115433,-0.7255783710561281,-0.081,1.03,3.274626865671412,1.5492537313428236,1,9,0
1987.0849315068488,1987-02-01,-0.4995916099720823,3.909420702837374,-0.6212760272780137,0.041,1.16,3.367164179103661,1.7343283582073223,1,9,0
1987.1616438356164,1987-03-01,-2.77747549572997,0.398077785935815,1.9991891983237944,-0.137,1.57,3.450746268656433,1.9014925373128664,1,9,0
1987.2465753424656,1987-04-01,-7.274343954526892,-5.924169497996557,3.791740689535944,-0.157,1.74,3.543283582089178,2.086567164178356,0,8,0
1987.328767123288,1987-05-01,-6.668505065725678,-3.316121698283181,2.3457505790382824,0.165,1.96,3.6328358208955955,2.265671641791191,0,8,0
1987.4136986301369,1987-06-01,3.0690034412823994,6.642976431259744,2.673288250113002,0.109,2.07,3.725373134328093,2.4507462686561854,0,8,0
1987.495890410959,1987-07-01,4.97121601283747,8.690770811454932,1.922055168860488,0.207,1.88,3.8149253731342627,2.629850746268525,0,8,0
1987.580821917808,1987-08-01,2.9158428535223297,6.288499456934821,3.722784853648374,0.297,1.46,3.9074626865667597,2.8149253731335193,0,8,0
1987.6657534246576,1987-09-01,6.57453317770139,8.404387988333308,5.457826216620873,0.393,1.26,4.0,3.0,0,8,0
1987.7479452054797,1987-10-01,0.6429740904441882,1.5396510805742594,4.613267289614928,0.255,1.18,3.8205838378387664,2.7308757567581496,0,8,0
1987.8328767123287,1987-11-01,0.2579529265324854,-0.7440861411026045,4.17849062446775,-0.051,0.9,3.635187136939917,2.4527807054098756,0,8,0
1987.9150684931508,1987-12-01,2.053577914618533,2.128521927861166,2.474177545998315,0.152,0.79,3.4557709747786833,2.1836564621680252,0,8,0
1988.0,1988-01-01,4.625267661440288,7.548830693188545,-0.0135380796283262,0.353,0.63,3.2703742738793378,1.9055614108190067,0,8,0
1988.084699453552,1988-02-01,2.850658166016272,5.156677156608926,-0.8601476888261763,-0.154,0.33,3.085484121342594,1.6282261820138906,0,8,0
1988.1639344262296,1988-03-01,1.7941444316337878,2.0881049389020507,1.3158511891034523,-0.313,0.17,2.9125223657440404,1.3687835486160607,0,9,0
1988.2486338797812,1988-04-01,-2.472991512995104,-3.868894154923996,3.838060602124323,-0.128,-0.01,2.727632213208289,1.0914483198124336,0,9,0
1988.330601092896,1988-05-01,-2.974673614529113,-0.80706564707443,1.1254853471125192,-0.513,-0.39,2.5487062591408884,0.8230593887113327,0,9,0
1988.415300546448,1988-06-01,7.064506276819818,9.285889598972442,0.4578525060374884,-0.272,-1.17,2.363816106604144,0.5457241599062166,0,9,0
1988.4972677595629,1988-07-01,8.684285324081605,11.430922531336286,1.5175195267584098,-0.15,-1.78,2.184890152536248,0.27733522880437134,0,9,0
1988.5819672131147,1988-08-01,6.467480853374284,8.763533092478184,3.007968908580491,-0.289,-1.81,2.0,0.0,0,9,0
1988.6666666666667,1988-09-01,10.26053642274972,10.642863849254232,4.280723508097766,-0.394,-1.8,1.9073232261180872,0.18535354776382554,0,9,0
1988.7486338797812,1988-10-01,3.86237791045324,4.466304672880888,3.034743646008181,-0.525,-1.59,1.8176360255876614,0.3647279488246773,0,9,0
1988.8333333333333,1988-11-01,2.363317388920396,3.2656500457359403,2.266789351358842,-0.183,-1.7,1.7249592517057486,0.5500814965885029,0,9,0
1988.915300546448,1988-12-01,5.538668765896249,7.168559767125522,0.5631170627094972,0.156,-1.55,1.635272051175074,0.7294558976498522,0,9,0
1989.0,1989-01-01,9.893393880284602,13.154240263445844,-1.3879339482321784,-0.281,-1.12,1.5425952772931613,0.9148094454136777,0,9,0
1989.0849315068488,1989-02-01,8.760230843632508,11.242724180902442,-2.069130781510624,-0.045,-1.1,1.4496645944424635,1.1006708111150731,0,9,0
1989.1616438356164,1989-03-01,9.321618015733552,8.410176958181417,0.4591575326784071,-0.319,-1.24,1.3657272034794756,1.268545593041049,0,9,0
1989.2465753424656,1989-04-01,6.60143557505588,2.401693786281586,3.4309913070047666,-0.48,-1.09,1.27279652062828,1.4544069587434396,0,9,0
1989.328767123288,1989-05-01,7.237110475537407,4.892564727696899,1.4299758239630511,-0.594,-1.03,1.1828636017394891,1.634272796521022,0,9,0
1989.4136986301369,1989-06-01,16.48050975641752,14.04010056755618,1.0159748789504683,-0.78,-0.99,1.0899329188885425,1.820134162222915,0,9,0
1989.495890410959,1989-07-01,15.933426578445266,15.04274709521916,0.1165502050601992,-0.447,-1.08,1.0,1.9999999999999998,0,9,0
1989.580821917808,1989-08-01,11.64054220826802,11.260637009928413,1.0942384215859535,-0.321,-0.66,1.0,1.9074626865675028,0,9,0
1989.6657534246576,1989-09-01,12.135467137683236,11.95248562619761,2.7343057410531024,-0.225,-0.53,1.0,1.8149253731342625,0,9,0
1989.7479452054797,1989-10-01,2.3014191214413136,3.810911800500154,1.902633397254392,-0.412,-0.49,1.0,1.7253731343280927,0,9,0
1989.8328767123287,1989-11-01,-2.155211789627474,0.191276226678166,2.1594127709384074,-0.338,-0.36,1.0,1.6328358208955955,0,9,0
1989.9150684931508,1989-12-01,-1.5731724311892543,1.9167181548712204,0.450815478237202,-0.167,-0.07,1.0,1.5432835820894257,0,9,0
1990.0,1990-01-01,0.426888599999517,6.539033714369928,-1.045820284851461,-0.099,0.13,1.0,1.450746268656681,0,9,0
1990.0849315068488,1990-02-01,-2.8877843337892704,3.628579093178587,-1.5366025558551375,-0.289,0.45,1.0,1.3582089552244314,0,9,0
1990.1616438356164,1990-03-01,-3.0570149513094944,0.0836573654595781,0.962846778346924,-0.143,0.61,1.0,1.2746268656716595,0,9,0
1990.2465753424656,1990-04-01,-6.032190588305041,-6.622991051963105,3.7890276819239297,-0.385,0.17,1.0,1.1820895522389145,0,9,0
1990.328767123288,1990-05-01,-4.918628800108427,-4.114630243843717,1.54739984135673,-0.348,0.08,1.0,1.0925373134324972,0,9,0
1990.4136986301369,1990-06-01,5.850400331002875,6.006297761412159,1.7960071704453753,-0.568,0.05,1.0,1.0,0,9,1
1990.495890410959,1990-07-01,6.769884348345763,8.277592916605975,0.460464414730512,-0.246,0.13,0.9101796407184111,1.1796407185631779,0,9,0
1990.580821917808,1990-08-01,7.31870960970425,5.997849527440138,2.540567778043434,-0.392,0.02,0.8173652694613159,1.3652694610773681,0,9,0
1990.6657534246576,1990-09-01,11.094149722097558,8.332394217322816,4.205953824091154,-0.183,0.22,0.7245508982034752,1.5508982035930496,0,9,0
1990.7479452054797,1990-10-01,4.08581109835429,1.9090463174325465,3.422651567620932,-0.345,-0.07,0.6347305389218864,1.7305389221562273,0,9,0
1990.8328767123287,1990-11-01,1.9356278032754524,0.1882624352653063,2.938371246577078,-0.094,0.12,0.5419161676647912,1.9161676646704175,0,9,0
1990.9150684931508,1990-12-01,3.3916344306774606,3.5795777855078548,1.655843766055728,0.003,0.31,0.4520958083832023,2.0958083832335954,0,10,0
1991.0,1991-01-01,5.615656557064234,9.183620328401105,-1.525657086459232,0.065,0.19,0.3592814371258586,2.281437125748283,0,10,0
1991.0849315068488,1991-02-01,4.520673298141293,6.931069926012626,-1.80084435431265,-0.097,0.08,0.2664670658690118,2.4670658682619764,0,10,0
1991.1616438356164,1991-03-01,3.216806052625436,3.5887588957821297,-0.2661538151179277,-0.037,0.2,0.182634730539181,2.634730538921638,0,10,0
1991.2465753424656,1991-04-01,-0.2759450525223787,-2.9675405402512167,2.5038080729023164,0.289,0.2,0.08982035928183729,2.8203592814363256,0,10,0
1991.328767123288,1991-05-01,0.723400796562532,-1.186336982471225,0.5557577680193698,0.379,0.35,0.0,3.0,0,10,0
1991.4136986301369,1991-06-01,9.879133685486456,7.478546407411025,2.486635357965449,0.263,0.97,0.0,2.723009317655653,0,10,0
1991.495890410959,1991-07-01,9.72009641269252,8.233895366066806,1.771810820070269,0.27,0.91,0.0,2.454953818611158,0,10,0
1991.580821917808,1991-08-01,7.349735994412802,4.345255625814643,2.9830594590536696,0.058,0.37,0.0,2.1779631362668113,0,10,0
1991.6657534246576,1991-09-01,8.468430166440399,5.041385426500632,3.836670283684049,0.099,0.54,0.0,1.9009724539202397,0,10,0
1991.7479452054797,1991-10-01,-0.5263438527252303,-2.9228480439297515,2.927272571121172,-0.03,0.97,0.0,1.6329169548757445,0,10,0
1991.8328767123287,1991-11-01,-5.053767514079031,-5.933114228995186,2.768442044929348,0.04,1.04,0.0,1.3559262725313976,0,11,0
1991.9150684931508,1991-12-01,-3.4412639456442524,-3.208922628548579,0.1890192614521979,0.084,1.23,0.0,1.0878707734869026,0,11,0
