Pair,Ensemble_Score,Interpretation,Mutual_Information,Transfer_Entropy_Mean,Transfer_Entropy_Max,Optimal_Lag,Causality_Ratio,Conditional_Entropy,Relative_Entropy,Cross_Entropy
MEI→ITF-G,0.5244429803742761,Strong Coupling,0.5668539540698787,0.736270710057639,0.8181845340929739,4,0.528242198044493,3.3585804082444857,0.07009237482131758,3.933022116757889
MEI→ITF-T,0.5158650079956737,Strong Coupling,0.5466312509232325,0.715395302571487,0.8004685104220481,7,0.5344399294707115,3.3223945632006955,0.1596585507214802,4.010691157294506
MEI→ITF-S,0.5305682677098794,Strong Coupling,0.5593632032361702,0.65660352509507,0.7816345162984235,9,0.5339679246973097,3.244555286044289,1.1591744713918068,4.875861405235627
DMI→ITF-G,0.5043994950128659,Strong Coupling,0.42708324757439947,0.6163708111427016,0.6804976188872627,9,0.5708439201958588,3.498351114739965,0.32090670918071307,3.7320779968039646
DMI→ITF-T,0.5151704762726119,Strong Coupling,0.42123147213767703,0.5247912250875953,0.5979288067705113,7,0.5465788540819514,3.4477943419862513,0.203092855405222,3.6142641425621487
DMI→ITF-S,0.4808620782507712,Moderate Coupling,0.42637560480512865,0.47298880168963436,0.5544716485027319,4,0.5380722758021036,3.3775428844753317,0.4912742689545377,3.9024455566413283
