time,itf_g,itf_t,itf_s
1984-01-01,7.712504472019484,10.416915760259958,-2.265140356789846
1984-02-01,6.222144127476664,8.049563377208818,-2.1098976352230814
1984-03-01,6.183102975520782,4.982744837357801,1.0325867486709068
1984-04-01,3.3259215469878267,-1.1790328477204204,3.438873778489239
1984-05-01,3.6539837131395547,1.4407648867383749,2.528188978756753
1984-06-01,13.740493175099125,11.238507555043764,2.254371671206919
1984-07-01,15.121979688006531,13.18057134202218,1.780489067420744
1984-08-01,13.958667774805932,10.458653174843398,2.615275270094167
1984-09-01,16.63069855628472,12.117626890279194,4.2107232262850065
1984-10-01,7.405747945071877,4.948982675538806,1.329233937291652
1984-11-01,4.083866935662843,2.371674955874851,2.0480335823840687
1984-12-01,4.502197864537124,4.956066525791817,0.4145412393773537
1985-01-01,6.172791863532908,10.062036999203338,-1.3852687618491222
1985-02-01,1.9590302152150736,7.535068515607046,-1.0944285332807835
1985-03-01,-0.644936237725973,4.186228578564727,0.9215954398518946
1985-04-01,-3.1547154924837786,-2.1536279722482368,3.4122182689245526
1985-05-01,-1.9151688162520102,0.3427105566417391,1.4079263738863161
1985-06-01,7.941982846677954,10.044935975628174,2.2887006275289514
1985-07-01,10.479401839380284,11.952787029408398,0.472379605261219
1985-08-01,9.31676366321662,9.20189174442612,1.4543221789438534
1985-09-01,12.95144065025429,11.004579321832832,2.9722319275272753
1985-10-01,6.712362340142819,4.028952978362032,0.6722783563570811
1985-11-01,4.997195402781578,1.7050497751393148,1.4819984712984224
1985-12-01,5.40861605947407,4.70671362913355,0.14405782160879432
1986-01-01,9.701513500345692,10.136712840268977,-2.9347099200009055
1986-02-01,7.543803195266593,7.915790271506212,-2.225223434683695
1986-03-01,6.388102358570743,4.837003165579882,0.6669044863952605
1986-04-01,3.8506108018805216,-1.3505103517915145,2.653089974028088
1986-05-01,3.698403932698973,1.140090512814656,1.157589948741079
1986-06-01,13.980568240697393,10.608361786047922,2.112339370199618
1986-07-01,14.570364181035508,12.116892396243037,1.9461372462657547
1986-08-01,11.32563866155612,8.879832056837039,3.661044653790126
1986-09-01,14.220416762545877,9.968581938843437,5.43046987627017
1986-10-01,5.519628016526347,2.296978438619778,4.6617929811407315
1986-11-01,1.659742422593534,-0.6738661574921265,3.470409263919853
1986-12-01,1.8184398710838496,1.6359177054719214,1.8624211562859778
1987-01-01,3.9657652258323592,6.526632154115433,-0.7255783710561281
1987-02-01,-0.49959160997208235,3.909420702837374,-0.6212760272780137
1987-03-01,-2.77747549572997,0.398077785935815,1.9991891983237942
1987-04-01,-7.274343954526892,-5.924169497996557,3.791740689535944
1987-05-01,-6.668505065725678,-3.316121698283181,2.3457505790382824
1987-06-01,3.0690034412823994,6.642976431259744,2.6732882501130026
1987-07-01,4.97121601283747,8.690770811454932,1.9220551688604879
1987-08-01,2.9158428535223297,6.288499456934821,3.722784853648374
1987-09-01,6.57453317770139,8.404387988333308,5.457826216620873
1987-10-01,0.6429740904441882,1.5396510805742594,4.613267289614928
1987-11-01,0.2579529265324854,-0.7440861411026045,4.17849062446775
1987-12-01,2.053577914618533,2.128521927861166,2.474177545998315
1988-01-01,4.625267661440288,7.548830693188545,-0.01353807962832629
1988-02-01,2.850658166016272,5.156677156608926,-0.8601476888261763
1988-03-01,1.7941444316337878,2.0881049389020507,1.3158511891034523
1988-04-01,-2.4729915129951037,-3.868894154923996,3.838060602124323
1988-05-01,-2.974673614529113,-0.80706564707443,1.1254853471125192
1988-06-01,7.064506276819818,9.285889598972442,0.45785250603748845
1988-07-01,8.684285324081605,11.430922531336286,1.5175195267584098
1988-08-01,6.467480853374284,8.763533092478184,3.007968908580491
1988-09-01,10.26053642274972,10.642863849254233,4.280723508097766
1988-10-01,3.8623779104532403,4.466304672880888,3.034743646008181
1988-11-01,2.363317388920396,3.2656500457359403,2.2667893513588426
1988-12-01,5.538668765896249,7.168559767125522,0.5631170627094972
1989-01-01,9.893393880284602,13.154240263445843,-1.3879339482321784
1989-02-01,8.760230843632508,11.242724180902442,-2.069130781510624
1989-03-01,9.321618015733552,8.410176958181417,0.4591575326784071
1989-04-01,6.60143557505588,2.401693786281586,3.4309913070047666
1989-05-01,7.237110475537407,4.892564727696899,1.4299758239630511
1989-06-01,16.48050975641752,14.04010056755618,1.0159748789504683
1989-07-01,15.933426578445266,15.042747095219159,0.11655020506019921
1989-08-01,11.64054220826802,11.260637009928411,1.0942384215859537
1989-09-01,12.135467137683237,11.95248562619761,2.7343057410531024
1989-10-01,2.3014191214413136,3.810911800500154,1.9026333972543918
1989-11-01,-2.155211789627474,0.19127622667816607,2.1594127709384074
1989-12-01,-1.5731724311892545,1.9167181548712204,0.450815478237202
1990-01-01,0.42688859999951706,6.539033714369928,-1.045820284851461
1990-02-01,-2.8877843337892704,3.628579093178587,-1.5366025558551377
1990-03-01,-3.0570149513094944,0.08365736545957819,0.9628467783469241
1990-04-01,-6.032190588305041,-6.622991051963105,3.7890276819239297
1990-05-01,-4.918628800108427,-4.114630243843717,1.54739984135673
1990-06-01,5.850400331002875,6.006297761412159,1.7960071704453753
1990-07-01,6.769884348345763,8.277592916605975,0.460464414730512
1990-08-01,7.31870960970425,5.997849527440138,2.540567778043434
1990-09-01,11.094149722097558,8.332394217322816,4.205953824091154
1990-10-01,4.08581109835429,1.9090463174325465,3.422651567620932
1990-11-01,1.9356278032754524,0.1882624352653063,2.938371246577078
1990-12-01,3.3916344306774606,3.5795777855078548,1.6558437660557281
1991-01-01,5.615656557064234,9.183620328401105,-1.525657086459232
